"5120-01-335-1043","Hardware","Universal Joint","This steel universal joint features a square female & male drive tang that are the same size & allows you to swivel your sockets into tight spaces.  Not for use with an impact wrench. AS4283.",6.93,"EA","H"
"5120-01-335-1044","Hardware","Universal Joint","This steel universal joint features a square female & male drive tang that are the same size & allows you to swivel your sockets into tight spaces.  Not for use with an impact wrench. AS4283.",5.73,"EA","H"
"5120-01-335-1048","Hardware","Universal Joint","This steel universal joint features a square female & male drive tang that are the same size & allows you to swivel your sockets into tight spaces.  Not for use with an impact wrench. AS4283.",3.17,"EA","H"
"5120-01-335-1049","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",4.62,"EA","H"
"5120-01-335-1050","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",19.77,"EA","H"
"5120-01-335-1053","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",8.71,"EA","H"
"5120-01-335-1054","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",12.36,"EA","H"
"5120-01-335-1057","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",3.14,"EA","H"
"5120-01-335-1058","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",12.49,"EA","H"
"5120-01-335-1059","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",4.01,"EA","H"
"5120-01-335-1060","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",5.62,"EA","H"
"5120-01-335-1061","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",19.91,"EA","H"
"5120-01-335-1069","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",6.99,"EA","H"
"5120-01-335-1070","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",8.6,"EA","H"
"5120-01-335-1071","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",2.53,"EA","H"
"5120-01-335-1072","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",2.89,"EA","H"
"5120-01-335-1073","Hardware","Socket Extension (Solid Shank)","This solid steel extension bar is designed for use with hand tools, no impacts. It includes a solid shank and has a square female socket at one end and a male drive tang of the same size at the opposite end. Described by: (Drive size, Length, Coating) AS4",6.46,"EA","H"
"5120-01-335-1081","Hardware","Socket Wrench (Ratchet Adapter)","A chrome plated steel ratchet adapter that converts a standard wrench handle to a ratchet handle. Has a square male drive tang at one end & a square female drive socket at the other end. Also has a reversible mechanism. The male drive tang has a spring lo",48.85,"EA","H"
"5120-01-335-1082","Hardware","Socket Wrench (Ratchet Adapter)","A chrome plated steel ratchet adapter that converts a standard wrench handle to a ratchet handle. Has a square male drive tang at one end & a square female drive socket at the other end. Also has a reversible mechanism. The male drive tang has a spring lo",43.59,"EA","H"
"5120-01-335-1086","Hardware","Socket Wrench (Ratchet Adapter)","A chrome plated steel ratchet adapter that converts a standard wrench handle to a ratchet handle. Has a square male drive tang at one end & a square female drive socket at the other end. Also has a reversible mechanism. The male drive tang has a spring lo",46.61,"EA","H"
"5120-01-335-1102","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 1 (Standard Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or exten",21.68,"EA","H"
"5120-01-335-1103","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 1 (Standard Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or exten",21.87,"EA","H"
"5120-01-335-1105","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 1 (Standard Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or exten",31.46,"EA","H"
"5120-01-335-1120","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 1 (Standard Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or exten",24.52,"EA","H"
"5120-01-335-1123","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 1 (Standard Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or exten",30.05,"EA","H"
"5120-01-335-1124","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 2 (Heavy Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or extensio",29.64,"EA","H"
"5120-01-335-1126","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 1 (Standard Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or exten",36.18,"EA","H"
"5120-01-335-1128","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 1 (Standard Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or exten",42.31,"EA","H"
"5120-01-335-1131","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 1 (Standard Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or exten",48.11,"EA","H"
"5120-01-335-1133","Hardware","Crowfoot Wrench (Flare Nut)","Type: I (Crowfoot, Flare Nut), Class: 2 (Heavy Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or extensio",2.48,"EA","H"
"5120-01-335-1135","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 1 (Standard Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or exten",23.07,"EA","H"
"5120-01-335-1137","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 1 (Standard Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or exten",23.47,"EA","H"
"5120-01-335-1139","Hardware","Crowfoot Wrench (Open End)","Type: II (Crowfoot, Open End), Class: 1 (Standard Duty). These forged steel, crowfoot wrenches have a female drive at one end & a wrenching configuration at the other end. The wrench attaches to the male square drive end of a socket wrench handle or exten",23.47,"EA","H"
